,Unnamed: 0,기관,시군구,주소,지역
0,,재단법인 담,서울특별시 종로구,서울 종로구 효자로 19 (통의동)-,서울
1,,종로행복일굼터,서울특별시 종로구,서울 종로구 종로43길 9 (종로6가)2층/3층,서울
2,,연동지역아동센터,서울특별시 종로구,서울 종로구 대학로3길 9 (연지동)303호,서울
3,,친구네 지역아동센터,서울특별시 종로구,서울 종로구 창신길 59 (창신동)4층,서울
4,,사회적협동조합 연꽃향기,서울특별시 종로구,서울 종로구 삼봉로 95 (견지동)705호,서울
5,,사단법인 대한뇌종양협회,서울특별시 종로구,"서울 종로구 돈화문로11길 29 (돈의동, 낙원오피스텔)9층 5호",서울
6,,서울특별시립 돈의동 쪽방상담소,서울특별시 종로구,서울 종로구 돈화문로9가길 20-2 (돈의동)3층,서울
7,,사단법인 뿌리의집,서울특별시 종로구,서울특별시 종로구 자하문로 125-10 (청운동)뿌리의집,서울
8,,(의)삼성의료재단,서울특별시 종로구,서울특별시 종로구 새문안로 29 (평동),서울
9,,서울시립청소년이동쉼터 (서북권),서울특별시 종로구,서울특별시 종로구 종로11길 11 (인사동)3층,서울
10,,사회복지법인새문안교회사회복지재단,서울특별시 종로구,서울특별시 종로구 세종대로23길 47 (당주동)새문안교회사회복지재단 205호,서울
11,,주식회사 아게이트,서울특별시 종로구,서울특별시 종로구 율곡로 56 (경운동)운현하늘빌딩 2층,서울
12,,사회복지법인 송석복지재단,서울특별시 종로구,서울특별시 종로구 창경궁로35가길13,서울
13,,참신나는학교지역아동센터,서울특별시 종로구,서울특별시 종로구 종로53길7-10,서울
14,,해송지역아동센터,서울특별시 종로구,"서울특별시 종로구 낙산성곽동길59-10, 지상1~3층",서울
15,,흥국생명보험 (주),서울특별시 종로구,서울특별시 종로구 새문안로68,서울
16,,사회복지법인여전도회작은자복지재단 (분사무소),서울특별시 종로구,"서울특별시 종로구 율곡로190, 805호(연지동, 여전도회관)",서울
17,,한국새생명사랑재단,서울특별시 종로구,서울특별시 종로구 율곡로14길10 오양빌딩4층,서울
18,,(사)서울시지체장애인협회 종로구지회,서울특별시 종로구,"서울특별시 종로구 대학로3길14, 1층",서울
19,,우리모두재가노인지원센터,서울특별시 종로구,"서울특별시 종로구 지봉로12나길1, B02호",서울
20,,종로시니어스타워,서울특별시 종로구,서울특별시 서대문구 홍지문길29(종로시니어스타워),서울
21,,서울여자간호대학교 휴먼캐슬,서울특별시 종로구,서울특별시 종로구 평창길318,서울
22,,사) 인도주의실천의사협의회,서울특별시 종로구,서울특별시 종로구 이화동 율곡로17길14(이화동 3층 1호),서울
23,,푸른학교 지역아동센터,서울특별시 종로구,서울특별시 종로구 숭인동 지봉로12길38,서울
24,,마로니에 지역아동센터,서울특별시 종로구,서울특별시 종로구 동숭동192-7,서울
25,,재단법인 진서문화교육재단,서울특별시 종로구,서울특별시 강남구 학동로3길 41 (논현동)8층,서울
26,,중앙지역아동센터,서울특별시 종로구,서울특별시 종로구 종로6가 충신길22 나동 3층,서울
27,,성터지역아동센터,서울특별시 종로구,서울특별시 종로구 창신동 창신7가길14-7,서울
28,,사회복지법인새문안교회사회복지재단종로지역아동센타,서울특별시 종로구,서울특별시 종로구 창신동 지봉로13길82,서울
29,,재단법인 골든써클재단,서울특별시 종로구,서울 마포구 광성로 36-1 (신수동)3층,서울
30,,(재) 현대차 정몽구 재단,서울특별시 종로구,서울특별시 종로구 계동 현대빌딩3층,서울
31,,마리이주여성쉼터,서울특별시 종로구,서울특별시 종로구 홍지문2가길 5-1 (홍지동)솔라리움 202호,서울
32,,재단법인 한국로날드맥도날드하우스,서울특별시 종로구,서울 서초구 사평대로55길 82-14 (반포동)201호,서울
33,,사단법인 노들,서울특별시 종로구,서울특별시 종로구 동숭동  1-140 유리빌딩 2층,서울
34,,수송보현의집,서울특별시 종로구,서울특별시 은평구 갈현로31길 22-7 (갈현동)A동 302호,서울
35,,재단법인 라이나전성기재단,서울특별시 종로구,서울특별시 종로구 삼봉로48 시그나타워 16층,서울
36,,사회복지법인 감리회 태화복지재단,서울특별시 종로구,서울특별시 종로구 인사동  태화빌딩9층 태화복지재단,서울
37,,사단법인 한국기독교사회복지협의회,서울특별시 종로구,서울특별시 종로구 연지동  기독교회관705호,서울
38,,사회복지법인 종로구사회복지협의회,서울특별시 종로구,서울특별시 종로구 지봉로86 숭인1동주민센터 4층 종로푸드마켓,서울
39,,사단법인 다문화교류네트워크,서울특별시 종로구,서울 강동구 천호대로 1073 (천호동)214호,서울
40,,종로아이존,서울특별시 종로구,서울특별시 종로구 신교동  70-10 세종마을 푸르메센터 2층,서울
41,,재단법인 생명보험사회공헌재단,서울특별시 종로구,서울특별시 종로구 서린동  청계11빌딩12층 생명보험사회공헌재단,서울
42,,재단법인 서울시복지재단,서울특별시 종로구,서울특별시 마포구 백범로31길 21 (공덕동)8층~10층,서울
43,,정훈 그룹홈,서울특별시 종로구,서울 종로구 평창동 164 자유빌라 101호,서울
44,,케어,서울특별시 종로구,서울 종로구 원서동 174번지 4층,서울
45,,푸르메재활센터,서울특별시 종로구,"서울 종로구 신교동 66 세종마을푸르메센터 1층,2층",서울
46,,(재) 케이티그룹희망나눔재단,서울특별시 종로구,서울특별시 종로구 세종대로178 kt광화문빌딩 west 15층,서울
47,,종로장애인복지관,서울특별시 종로구,서울특별시 종로구 자하문로89 세종마을 푸르메센터 3층 종로장애인복지관,서울
48,,한누리아동센터,서울특별시 종로구,서울 종로구 무악동 46-1738번지,서울
49,,재단법인 이주배경청소년지원재단,서울특별시 종로구,서울특별시 종로구 자하문로24길 20 (효자동)이음빌딩 201호,서울
50,,서울농아인협회 종로구지회,서울특별시 종로구,서울 종로구 종로17길 8 (종로2가)3층,서울
51,,사단법인 한국음식문화원,서울특별시 종로구,서울 종로구 교남동 46-1 3층 사무실내 1호 안쪽,서울
52,,종로구다문화가족지원센터,서울특별시 종로구,서울 종로구 창신2동 596-2 동부여성문화센터 2층,서울
53,,(사)인간성회복운동추진협의회,서울특별시 종로구,서울 종로구 교남동 45-1,서울
54,,재단법인 아름다운동행,서울특별시 종로구,서울특별시 종로구 견지동 인사동11길22 다연2층 아름다운동행,서울
55,,보현데이케어센터,서울특별시 종로구,서울 종로구 평창동 562-14,서울
56,,(사복)한국생명의전화,서울특별시 종로구,서울 성북구 오패산로 21 (하월곡동)6층,서울
57,,종로구치매안심센터,서울특별시 종로구,서울특별시 종로구 평창동50,서울
58,,세계예술치료협회,서울특별시 종로구,서울특별시 종로구 평창33길32,서울
59,,서울해바라기센터,서울특별시 종로구,서울 종로구 연건동서울대학교병원함춘회관 지하 101호,서울
60,,사단법인 더 프라미스,서울특별시 종로구,서울 종로구 종로 51 (종로2가)23층 108호,서울
61,,(재)예수의꽃동네유지재단,서울특별시 종로구,서울 종로구 낙원동 5 서울꽃동네사랑의집,서울
62,,재단법인 푸르메,서울특별시 종로구,서울특별시 종로구 자하문로89(신교동 66) 세종마을푸르메센터 4층 푸르메재단,서울
63,,사회복지법인 구세군복지재단,서울특별시 종로구,서울특별시 종로구 새문안로69 구세군회관 901호,서울
64,,(재)예수교대한성결교회유지재단,서울특별시 종로구,서울 종로구 인왕산로1가길 11 (행촌동)예수교대한성결교회 총회본부,서울
65,,사단법인 본사랑,서울특별시 종로구,서울 강서구 양천로75길 31 (염창동)3층 본사랑,서울
66,,서울적십자병원,서울특별시 종로구,서울 종로구 새문안로 9 (평동)3층 의료사회사업실,서울
67,,종로구정신건강증진센터,서울특별시 종로구,서울 종로구 명륜동1가성균관로 15길10(명륜1가 5-14),서울
68,,비둘기보호작업장,서울특별시 종로구,서울 종로구 동숭동5-4 비둘기재활센터,서울
69,,비둘기주간보호시설,서울특별시 종로구,서울 종로구 동숭동5-4,서울
70,,청운실버센터,서울특별시 종로구,서울특별시 종로구 자하문로28길 29 (청운동)(청운동89-12),서울
71,,종로종합사회복지관,서울특별시 종로구,서울 종로구 창신3동23-344,서울
72,,사단법인 청소년내길찾기,서울특별시 종로구,"서울 강북구 도봉로98길 33 (번동, 삼성아파트)3층",서울
73,,사단법인 전국지역아동센터협의회,서울특별시 종로구,서울특별시 영등포구 영등포동7가70-6 선일빌딩 3층,서울
74,,(재)한국대학생선교회,서울특별시 종로구,서울 종로구 부암동36-1,서울
